fecha,anio,municipio,latitud,longitud,temp_max,temp_min,temp_app_max,temp_app_min,lluvia_acumulada,evapotranspiracion
2026-01-24,2026,San Juan Mixtepec,16.1639142,-96.175812,19.4,7.9,19.1,6.5,1.9,3.33
2026-01-25,2026,San Juan Mixtepec,17.1820614,-97.4953209,22.6,7.7,22.8,5.6,0.0,4.11
2026-01-25,2026,San Juan Mixtepec,16.1639142,-96.175812,20.0,8.8,20.6,7.1,0.6,3.52
2026-01-26,2026,San Juan Mixtepec,17.1820614,-97.4953209,20.1,8.4,18.9,6.5,0.0,3.55
2026-01-26,2026,San Juan Mixtepec,16.1639142,-96.175812,18.7,9.4,18.2,6.0,0.0,3.26
2026-01-27,2026,San Juan Mixtepec,17.1820614,-97.4953209,20.0,4.0,19.1,1.6,0.0,3.89
2026-01-27,2026,San Juan Mixtepec,16.1639142,-96.175812,20.1,8.4,20.8,4.7,0.0,3.84
2026-01-28,2026,San Juan Mixtepec,17.1820614,-97.4953209,22.1,8.2,20.3,6.0,0.0,4.08
2026-01-28,2026,San Juan Mixtepec,16.1639142,-96.175812,21.0,7.5,20.2,5.0,0.0,4.27
2026-01-29,2026,San Juan Mixtepec,17.1820614,-97.4953209,21.7,6.3,20.1,4.0,0.0,4.01
2026-01-29,2026,San Juan Mixtepec,16.1639142,-96.175812,19.6,7.7,19.4,4.6,0.2,3.61
2026-01-30,2026,San Juan Mixtepec,17.1820614,-97.4953209,21.8,10.0,20.4,8.6,0.0,3.68
2026-01-30,2026,San Juan Mixtepec,16.1639142,-96.175812,18.6,10.6,16.3,7.9,0.0,3.41
2026-01-31,2026,San Juan Mixtepec,17.1820614,-97.4953209,17.6,5.9,17.8,4.4,0.0,2.89
2026-01-31,2026,San Juan Mixtepec,16.1639142,-96.175812,17.7,8.3,15.9,4.8,0.0,3.31
2026-02-01,2026,San Juan Mixtepec,17.1820614,-97.4953209,17.8,4.1,15.1,2.3,0.0,3.02
2026-02-01,2026,San Juan Mixtepec,16.1639142,-96.175812,17.9,6.7,17.6,3.0,0.0,3.38
2026-02-02,2026,San Juan Mixtepec,17.1820614,-97.4953209,19.5,4.1,17.6,2.3,0.0,3.95
2026-02-02,2026,San Juan Mixtepec,16.1639142,-96.175812,18.4,7.3,18.1,3.7,0.0,4.02
2026-02-03,2026,San Juan Mixtepec,17.1820614,-97.4953209,22.4,6.2,21.5,3.7,0.0,4.18
2026-02-03,2026,San Juan Mixtepec,16.1639142,-96.175812,18.5,7.0,17.7,3.7,0.0,3.98
2026-02-04,2026,San Juan Mixtepec,17.1820614,-97.4953209,22.6,8.0,20.7,5.2,0.0,4.36
2026-02-04,2026,San Juan Mixtepec,16.1639142,-96.175812,20.7,9.0,18.8,4.8,0.0,4.52
2026-02-05,2026,San Juan Mixtepec,17.1820614,-97.4953209,18.0,5.0,16.5,3.1,0.0,3.77
2026-02-05,2026,San Juan Mixtepec,16.1639142,-96.175812,17.8,7.7,16.1,3.7,0.0,4.01
2026-02-06,2026,San Juan Mixtepec,17.1820614,-97.4953209,22.5,6.1,20.8,3.9,0.0,4.17
2026-02-06,2026,San Juan Mixtepec,16.1639142,-96.175812,19.1,7.7,18.9,4.4,0.0,3.92
2026-02-07,2026,San Juan Mixtepec,17.1820614,-97.4953209,22.3,7.3,19.4,4.6,0.0,4.39
2026-02-07,2026,San Juan Mixtepec,16.1639142,-96.175812,21.0,6.4,18.8,2.4,0.0,4.63
2026-02-08,2026,San Juan Mixtepec,17.1820614,-97.4953209,23.5,6.8,21.3,3.5,0.0,4.75
2026-02-08,2026,San Juan Mixtepec,16.1639142,-96.175812,19.9,7.3,17.6,3.0,0.0,4.58
2026-02-09,2026,San Juan Mixtepec,17.1820614,-97.4953209,23.5,7.8,20.8,4.6,0.0,4.6
2026-02-09,2026,San Juan Mixtepec,16.1639142,-96.175812,20.5,6.9,18.6,3.0,0.0,4.57
2026-02-10,2026,San Juan Mixtepec,17.1820614,-97.4953209,25.6,7.8,24.0,5.5,0.0,4.64
2026-02-10,2026,San Juan Mixtepec,16.1639142,-96.175812,19.3,8.9,19.3,5.4,0.0,4.23
2026-02-11,2026,San Juan Mixtepec,17.1820614,-97.4953209,25.5,10.4,22.7,8.8,0.0,5.11
2026-02-11,2026,San Juan Mixtepec,16.1639142,-96.175812,20.2,7.9,19.7,4.8,0.0,4.32
2026-02-12,2026,San Juan Mixtepec,17.1820614,-97.4953209,24.7,8.5,21.4,5.8,0.0,4.93
2026-02-12,2026,San Juan Mixtepec,16.1639142,-96.175812,21.1,8.3,20.0,4.5,0.0,4.67
2026-02-13,2026,San Juan Mixtepec,17.1820614,-97.4953209,24.7,9.2,23.7,6.6,0.0,4.65
2026-02-13,2026,San Juan Mixtepec,16.1639142,-96.175812,19.8,7.7,19.4,4.0,0.1,4.27
2026-02-14,2026,San Juan Mixtepec,17.1820614,-97.4953209,24.2,7.9,23.1,6.6,0.0,4.42
2026-02-14,2026,San Juan Mixtepec,16.1639142,-96.175812,20.5,9.0,20.7,7.5,0.0,3.86
2026-02-15,2026,San Juan Mixtepec,17.1820614,-97.4953209,25.8,9.9,23.9,8.3,0.0,4.92
2026-02-15,2026,San Juan Mixtepec,16.1639142,-96.175812,20.5,9.9,21.8,8.1,0.7,3.86
2026-02-16,2026,San Juan Mixtepec,17.1820614,-97.4953209,25.7,9.0,23.3,7.9,0.0,4.82
2026-02-16,2026,San Juan Mixtepec,16.1639142,-96.175812,21.8,8.1,20.7,5.0,0.0,4.69
2026-02-17,2026,San Juan Mixtepec,17.1820614,-97.4953209,25.1,10.9,23.7,9.1,0.0,4.59
2026-02-17,2026,San Juan Mixtepec,16.1639142,-96.175812,20.0,10.4,19.8,7.3,0.2,3.57
2026-02-18,2026,San Juan Mixtepec,17.1820614,-97.4953209,24.4,9.6,23.7,7.7,0.1,4.53
