municipio,anio,temp_max,temp_min,temp_app_max,temp_app_min,lluvia_acumulada,evapotranspiracion,latitud,longitud
San Juan Mixtepec,2026,21.07,9.32,20.61,7.73,523.2,580.15,17.1820614,-97.4953209
San Pedro Mixtepec,2025,24.81,18.99,27.78,19.97,1013.2,1203.63,15.5857517,-97.0501795
San Pedro Mixtepec,2026,24.66,18.69,27.37,19.35,504.7,634.98,15.5857517,-97.0501795
